Name,Client,Images,Price,Hits,Revenue,Type,Collection,Size (WxLxH) cm,AWS - HTML,AWS - USDZ,AWS - GLB,Usage,id
Model 01 Armchair Teal,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/teal.html,,,,recGtq6BfXnwPWP7o
Model 01 Armchair Vine ,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/vine.html,,,,recPNBf4cpqQTIgpL
Model 01 Armchair Elephant ,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/elephant.html,,,,rec2fkezleLsxVf5Y
Model 01 Armchair Shadow,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/shadow.html,,,,recv98s122HijyHgm
Model 01 Armchair Seaglass ,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/seaglass.html,,,,recnqVjhAK7iDbsjn
Model 01 Armchair Pumice,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/pumice.html,,,,recoV7nuEldPFRcDk
Model 01 Armchair Brick,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/brick.html,,,,recuQrHQhlmHfWn2C
Model 01 Armchair Linen,Swyft,,675,,0,Chair,Model 01,63 x 80 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/armchair/linen.html,,,,recHJhqhegtMETBMu
Model 01 2 Seater Teal,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/teal.html,,,,recy7NJjNrzkpPwBS
Model 01 2 Seater Vine ,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/vine.html,,,,rec1cfYsus6tx9WK3
Model 01 2 Seater Shadow,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/shadow.html,,,,recSq5UwEtOi4mOSM
Model 01 2 Seater Elephant ,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/elephant.html,,,,reckD27AKK3oAVLsR
Model 01 2 Seater Seaglass ,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/seaglass.html,,,,recJ8QnvvPpkAPKOL
Model 01 2 Seater Pumice,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/pumice.html,,,,recppXLNQJot2ddOs
Model 01 2 Seater Brick,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/brick.html,,,,rec5mchg70oJn7P0a
Model 01 2 Seater Linen,Swyft,,1015,,0,Chair,Model 01,158 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/2seater/linen.html,,,,recUNErmu2SVM2sN2
Model 01 3 Seater Vine ,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/vine.html,,,,recrSWgvh2i0eIT6p
Model 01 3 Seater  Elephant ,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/elephant.html,,,,recrUQZHTswBhizc5
Model 01 3 Seater Shadow,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/shadow.html,,,,recdRJnfRDMlVRsm1
Model 01 3 Seater  Seaglass ,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/seaglass.html,,,,recjp00M6eaV4A9G0
Model 01 3 Seater  Pumice,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/pumice.html,,,,recbX8E6OIkBSoAKb
Model 01 3 Seater  Brick,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/brick.html,,,,recASTEoJgHa8pRzt
Model 01 3 Seater Linen,Swyft,,1128,,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/linen.html,,,,recyKh5Qyfwcd9uL9
Model 01 3 Seater Teal,Swyft,,1128,0.0,0,Chair,Model 01,188 x 85 x 82,https://swyfthome.s3-eu-west-1.amazonaws.com/Model01/viewer/3seater/teal.html,,,,recoQDl8uxl70jLiq
